phone_id,location_date,latitude,longitude
50,2022-11-01 01:53:16.0,39.5056569500,2.5292665100
33,2022-11-01 01:53:38.0,39.5053859000,2.5296864000
14,2022-11-01 01:53:40.0,39.5039167000,2.5279948000
23,2022-11-01 01:54:12.0,39.5042774100,2.5269092100
50,2022-11-01 01:54:23.0,39.5081014100,2.5297153500
33,2022-11-01 01:54:41.0,39.5056159000,2.5296814000
14,2022-11-01 01:54:42.0,39.5038788000,2.5278950000
23,2022-11-01 01:55:16.0,39.5043211200,2.5268939200
50,2022-11-01 01:55:29.0,39.5035751200,2.5267308200
33,2022-11-01 01:55:43.0,39.5056876000,2.5296164000
14,2022-11-01 01:55:43.0,39.5037873000,2.5278292000
23,2022-11-01 01:56:19.0,39.5042430100,2.5267551200
50,2022-11-01 01:56:32.0,39.5042374600,2.5266497800
14,2022-11-01 01:56:45.0,39.5038901000,2.5279124000
33,2022-11-01 01:56:46.0,39.5056013000,2.5296026000
23,2022-11-01 01:57:22.0,39.5043477800,2.5268793300
50,2022-11-01 01:57:35.0,39.5042865300,2.5267265900
14,2022-11-01 01:57:47.0,39.5076226000,2.5301762000
33,2022-11-01 01:57:49.0,39.5056392000,2.5295815000
23,2022-11-01 01:58:25.0,39.5042886700,2.5269877800
50,2022-11-01 01:58:38.0,39.5043401900,2.5267378800
14,2022-11-01 01:58:50.0,39.5103367000,2.5306784000
33,2022-11-01 01:58:51.0,39.5053642000,2.5296092000
23,2022-11-01 01:59:28.0,39.5042383200,2.5268832600
50,2022-11-01 01:59:41.0,39.5043443800,2.5267713400
14,2022-11-01 01:59:52.0,39.5061028000,2.5302966000
33,2022-11-01 01:59:54.0,39.5055733000,2.5296808000
23,2022-11-01 02:00:31.0,39.5041425400,2.5268169300
14,2022-11-01 02:00:54.0,39.5081833000,2.5211857000
33,2022-11-01 02:00:57.0,39.5072250000,2.5300737000
23,2022-11-01 02:01:34.0,39.5042984700,2.5268657400
14,2022-11-01 02:01:58.0,39.5116340900,2.5189647000
33,2022-11-01 02:01:59.0,39.5077387000,2.5299953000
23,2022-11-01 02:02:37.0,39.5042951700,2.5268395800
14,2022-11-01 02:03:00.0,39.5192351000,2.5180911000
33,2022-11-01 02:03:02.0,39.5077613000,2.5301567000
23,2022-11-01 02:03:40.0,39.5042486100,2.5268393400
